case_id,record_index,question,gold_answers,is_answerable,prediction,correct,confidence,entailment_probability,contradiction_probability,neutral_probability,nli_label,claim,evidence,retriever_score,evidence_source,claim_valid,invalid_claim_reasons
11,117,What was implemented with an X.25 interface?,[UNANSWERABLE],false,DATAPAC and TRANSPAC,false,0.360331,0.966639,0.012495,0.020866,ENTAILMENT,datapac and transpac was implemented with an x25 interface.,There were two kinds of X.25 networks. Some such as DATAPAC and TRANSPAC were initially implemented with an X.25 external interface. Some older networks such as TELENET and TYMNET were modifie,1.000000,,true,
12,43,How much funding did the RAND Corporation receive?,[UNANSWERABLE],false,US Department of Defense,false,0.558731,0.966285,0.005163,0.028552,ENTAILMENT,the rand corporation received us department of defense funding.,"ient routing method for telecommunication messages as part of a research program at the RAND Corporation, funded by the US Department of Defense. This concept contrasted and contradicted the theretofore established principles of pre-allocation of network bandwidth",0.790000,,true,
13,124,How many professional schools does the University of Higher Learning consist of?,[UNANSWERABLE],false,seven,false,0.062095,0.965293,0.012738,0.021969,ENTAILMENT,the university of higher learning consists of seven professional schools.,"The academic bodies of the University of Chicago consist of the College, four divisions of graduate research and seven professional schools. The university also contains a library system, the University of Chicago Press, the University of",0.850000,,true,
14,15,Who distributes money from the annual trust fund?,[UNANSWERABLE],false,"the WMO, by UNEP, and by IPCC Members",false,0.328548,0.955638,0.008734,0.035628,ENTAILMENT,the wmo by unep and by ipcc members distributes money from the annual trust fund.,"by the WMO, while UNEP meets the cost of the Depute Secretary. Annual cash contributions to the Trust Fund are made by the WMO, by UNEP, and by IPCC Members; the scale of payments is determined by the IPCC Panel, which is also responsible for considering and adopting by conse",0.860000,,true,
15,32,"Along with sport and art, what is a type of talent scholarship?",academic,true,academic scholarship,false,0.791924,0.954802,0.001008,0.044190,ENTAILMENT,along with sport and art a type of talent scholarship is academic scholarship.,"hip, which makes the cost cheaper, depending on a talent the student may have (e.g. sport scholarship, art scholarship, academic scholarship), financial need, or tax credit scholarships that might be available.",0.883333,,true,
16,65,What is stainless steel's theoretical Carnot efficiency?,[UNANSWERABLE],false,63%,false,0.866735,0.950218,0.008127,0.041655,ENTAILMENT,stainless steels theoretical carnot efficiency is 63.,it of stainless steel) and condenser temperatures are around 30 °C. This gives a theoretical Carnot efficiency of about 63% compared with an actual efficiency of 42% for a modern coal-fired power station. This low turbine entry temperature (co,0.930000,,true,
17,156,What did Marchall Cohen note about crime?,[UNANSWERABLE],false,civil disobedience,false,0.048381,0.934257,0.007239,0.058504,ENTAILMENT,marchall cohen noted civil disobedience about crime.,"It has been argued that the term ""civil disobedience"" has always suffered from ambiguity and in modern times, become utterly debased. Marshall Cohen notes, ""It has been use",0.737500,,true,
18,82,"What, along with solar, coal, and nuclear, uses the heat process?",[UNANSWERABLE],false,biomass,false,0.495051,0.921628,0.001999,0.076373,ENTAILMENT,biomass along with solar coal and nuclear uses the heat process.,"ankine steam cycles generated about 90% of all electric power used throughout the world, including virtually all solar, biomass, coal and nuclear power plants. It is named after William John Macquorn Rankine, a Scottish polymath.",0.800000,,true,
19,29,What type of experiment did Philo of Pneumatica preform?,[UNANSWERABLE],false,inverting a vessel over a burning candle,false,0.593045,0.917844,0.045832,0.036323,ENTAILMENT,philo of pneumatica preformed inverting a vessel over a burning candle.,"ucted by the 2nd century BCE Greek writer on mechanics, Philo of Byzantium. In his work Pneumatica, Philo observed that inverting a vessel over a burning candle and surrounding the vessel's neck with water resulted in some water rising into the neck. Philo incorrectly surmised th",0.790000,,true,
20,121,What branch of theoretical computer class deals with broadly classifying computational problems by difficulty and class of relationship?,[UNANSWERABLE],false,Computational complexity theory,false,0.721664,0.911712,0.034377,0.053911,ENTAILMENT,computational complexity theory deals with broadly classifying computational problems by difficulty and class of relationship.,Computational complexity theory is a branch of the theory of computation in theoretical computer science that focuses on classifying computational prob,0.809091,,true,
21,181,What is the name of one algorithm useful for conveniently testing the primality of decimal digits?,[UNANSWERABLE],false,Miller–Rabin primality test,false,0.363256,0.901940,0.020768,0.077292,ENTAILMENT,the name of one algorithm useful for conveniently testing the primality of decimal digits is miller–rabin primality test.,"hms much more efficient than trial division have been devised to test the primality of large numbers. These include the Miller–Rabin primality test, which is fast but has a small probability of error, and the AKS primality test, which always produces the correct answ",0.693750,,true,
22,165,"What else were families with incomes below $38,000 not required to pay for in 2009?",[UNANSWERABLE],false,room and board,false,0.078771,0.900472,0.022859,0.076669,ENTAILMENT,families with incomes below 38000 were not required to pay for room and board in 2009.,"nce of $57,000. Beginning 2007, families with incomes below $60,000 pay nothing for their children to attend, including room and board. Families with incomes between $60,000 to $80,000 pay only a few thousand dollars per year, and families earning betwee",0.805556,,true,
23,153,How was the efficiency of a concept engine typically evaluated?,[UNANSWERABLE],false,duty,false,0.604280,0.894975,0.040294,0.064731,ENTAILMENT,the efficiency of a concept engine was typically evaluated by duty.,"The historical measure of a steam engine's energy efficiency was its ""duty"". The concept of duty was first introduced by Watt in order to illustrate how much more efficient his engines were over",0.790000,,true,
24,83,How many years has Bronze Age agriculture gone on for?,[UNANSWERABLE],false,~3000 yr BP,false,0.097990,0.890698,0.023996,0.085306,ENTAILMENT,bronze age agriculture has gone on for 3000 yr bp.,"Since ~3000 yr BP (= years Before Present), human impact is seen in the delta. As a result of increasing land clearance (Bronze Age agric",0.800000,,true,
25,13,What are three basic primary resources used to gauge complexity?,[UNANSWERABLE],false,time and storage,false,0.458568,0.873668,0.001105,0.125227,ENTAILMENT,time and storage are three basic primary resources used to gauge complexity.,"cal models of computation to study these problems and quantifying the amount of resources needed to solve them, such as time and storage. Other complexity measures are also used, such as the amount of communication (used in communication complexity), the n",0.800000,,true,
26,98,What are two ways lava tubes are added during deformation?,[UNANSWERABLE],false,depositionally and intrusively,false,0.018533,0.858055,0.023937,0.118007,ENTAILMENT,two ways lava tubes are added during deformation are depositionally and intrusively.,"The addition of new rock units, both depositionally and intrusively, often occurs during deformation. Faulting and other deformational processes result in the creation of topographic grad",0.750000,,true,
27,14,"What is the name of an integer in which addition, subtraction, and multiplication are defined?",[UNANSWERABLE],false,prime elements,false,0.537637,0.843457,0.102479,0.054064,ENTAILMENT,the name of an integer in which addition subtraction and multiplication are defined is prime elements.,"elements of any commutative ring R, an algebraic structure where addition, subtraction and multiplication are defined: prime elements and irreducible elements. An element p of R is called prime element if it is neither zero nor a unit (i.e., does not ha",0.930000,,true,
28,187,How quickly can fish larvae grow?,[UNANSWERABLE],false,breed very rapidly,false,0.008169,0.826986,0.087905,0.085110,ENTAILMENT,fish larvae can breed very rapidly.,"ade new territories (although this was not predicted until after it so successfully colonized the Black Sea), as it can breed very rapidly and tolerate a wide range of water temperatures and salinities. The impact was increased by chronic overfishing, and by",0.720000,,true,
